"","id","Season","Daynum","ID_SeasonTeam1","Team1","ID_SeasonTeam2","Team2","Seed_num_Team1","Seed_Pre_Team1","Seed_Diff_Team1","Seed_num_Team2","Seed_Pre_Team2","Seed_Diff_Team2","Seed_Diff","Result"
"118","1987_1234_1431",1987,139,"1987_1234",1234,"1987_1431",1431,2,11,9,7,10,3,5,"Win"
"119","1987_1393_1443",1987,139,"1987_1393",1393,"1987_1443",1443,2,2,0,10,8,-2,8,"Win"
"120","1987_1443_1452",1987,137,"1987_1443",1443,"1987_1452",1452,10,8,-2,7,9,2,-3,"Win"
"121","1987_1385_1455",1987,137,"1987_1385",1385,"1987_1455",1455,6,1,-5,11,20,9,5,"Win"
"122","1987_1417_1461",1987,138,"1987_1417",1417,"1987_1461",1461,4,20,16,12,20,8,8,"Lose"
"123","1987_1424_1461",1987,144,"1987_1424",1424,"1987_1461",1461,1,4,3,12,20,8,11,"Win"
"124","1987_1438_1461",1987,136,"1987_1438",1438,"1987_1461",1461,5,5,0,12,20,8,7,"Lose"
"125","1987_1181_1462",1987,138,"1987_1181",1181,"1987_1462",1462,5,1,-4,13,12,-1,8,"Win"
"126","1987_1281_1462",1987,136,"1987_1281",1281,"1987_1462",1462,4,11,7,13,12,-1,9,"Lose"
"127","1988_1120_1133",1988,136,"1988_1120",1120,"1988_1133",1133,8,8,0,9,20,11,1,"Win"
"128","1988_1140_1150",1988,136,"1988_1140",1140,"1988_1150",1150,4,10,6,13,20,7,9,"Win"
"129","1988_1112_1165",1988,137,"1988_1112",1112,"1988_1165",1165,1,10,9,16,20,4,15,"Win"
"130","1988_1131_1181",1988,136,"1988_1131",1131,"1988_1181",1181,15,20,5,2,5,3,-13,"Lose"
"131","1988_1112_1234",1988,144,"1988_1112",1112,"1988_1234",1234,1,10,9,5,2,-3,4,"Win"
"132","1988_1199_1234",1988,137,"1988_1199",1199,"1988_1234",1234,12,20,8,5,2,-3,-7,"Lose"
"133","1988_1210_1235",1988,137,"1988_1210",1210,"1988_1235",1235,5,7,2,12,20,8,7,"Win"
"134","1988_1181_1242",1988,152,"1988_1181",1181,"1988_1242",1242,2,5,3,6,5,-1,4,"Lose"
"135","1988_1242_1243",1988,146,"1988_1242",1242,"1988_1243",1243,6,5,-1,4,9,5,-2,"Win"
"136","1988_1177_1243",1988,138,"1988_1177",1177,"1988_1243",1243,5,3,-2,4,9,5,-1,"Lose"
"137","1988_1243_1247",1988,136,"1988_1243",1243,"1988_1247",1247,4,9,5,13,20,7,9,"Win"
"138","1988_1140_1257",1988,138,"1988_1140",1140,"1988_1257",1257,4,10,6,5,20,15,1,"Lose"
"139","1988_1207_1261",1988,137,"1988_1207",1207,"1988_1261",1261,8,1,-7,9,10,1,1,"Win"
"140","1988_1246_1268",1988,139,"1988_1246",1246,"1988_1268",1268,2,8,6,7,20,13,5,"Win"
"141","1988_1124_1272",1988,136,"1988_1124",1124,"1988_1272",1272,8,20,12,9,20,11,1,"Lose"
"142","1988_1196_1276",1988,138,"1988_1196",1196,"1988_1276",1276,6,6,0,3,9,6,-3,"Lose"
"143","1988_1129_1276",1988,136,"1988_1129",1129,"1988_1276",1276,14,20,6,3,9,6,-11,"Lose"
"144","1988_1242_1293",1988,139,"1988_1242",1242,"1988_1293",1293,6,5,-1,14,20,6,8,"Win"
"145","1988_1293_1301",1988,137,"1988_1293",1293,"1988_1301",1301,14,20,6,3,11,8,-11,"Win"
"146","1988_1112_1314",1988,146,"1988_1112",1112,"1988_1314",1314,1,10,9,2,1,-1,1,"Win"
"147","1988_1276_1314",1988,144,"1988_1276",1276,"1988_1314",1314,3,9,6,2,1,-1,-1,"Lose"
"148","1988_1258_1314",1988,138,"1988_1258",1258,"1988_1314",1314,10,20,10,2,1,-1,-8,"Lose"
"149","1988_1314_1317",1988,136,"1988_1314",1314,"1988_1317",1317,2,1,-1,15,20,5,13,"Win"
"150","1988_1120_1328",1988,138,"1988_1120",1120,"1988_1328",1328,8,8,0,1,6,5,-7,"Lose"
"151","1988_1257_1328",1988,143,"1988_1257",1257,"1988_1328",1328,5,20,15,1,6,5,-4,"Lose"
"152","1988_1242_1328",1988,154,"1988_1242",1242,"1988_1328",1328,6,5,-1,1,6,5,-5,"Win"
"153","1988_1112_1328",1988,152,"1988_1112",1112,"1988_1328",1328,1,10,9,1,6,5,0,"Lose"
"154","1988_1151_1328",1988,136,"1988_1151",1151,"1988_1328",1328,16,20,4,1,6,5,-15,"Lose"
"155","1988_1257_1333",1988,136,"1988_1257",1257,"1988_1333",1333,5,20,15,12,20,8,7,"Win"
"156","1988_1185_1338",1988,137,"1988_1185",1185,"1988_1338",1338,15,20,5,2,3,1,-13,"Lose"
"157","1988_1192_1345",1988,136,"1988_1192",1192,"1988_1345",1345,16,20,4,1,3,2,-15,"Lose"
"158","1988_1243_1345",1988,144,"1988_1243",1243,"1988_1345",1345,4,9,5,1,3,2,-3,"Win"
"159","1988_1272_1345",1988,138,"1988_1272",1272,"1988_1345",1345,9,20,11,1,3,2,-8,"Lose"
"160","1988_1281_1348",1988,136,"1988_1281",1281,"1988_1348",1348,6,4,-2,11,20,9,5,"Lose"
"161","1988_1181_1348",1988,143,"1988_1181",1181,"1988_1348",1348,2,5,3,11,20,9,9,"Win"
"162","1988_1210_1350",1988,139,"1988_1210",1210,"1988_1350",1350,5,7,2,13,20,7,8,"Lose"
"163","1988_1231_1350",1988,137,"1988_1231",1231,"1988_1350",1350,4,1,-3,13,20,7,9,"Lose"
"164","1988_1268_1364",1988,137,"1988_1268",1268,"1988_1364",1364,7,20,13,10,20,10,3,"Win"
"165","1988_1112_1371",1988,139,"1988_1112",1112,"1988_1371",1371,1,10,9,8,20,12,7,"Win"
"166","1988_1323_1374",1988,136,"1988_1323",1323,"1988_1374",1374,10,5,-5,7,20,13,-3,"Lose"
"167","1988_1181_1374",1988,138,"1988_1181",1181,"1988_1374",1374,2,5,3,7,20,13,5,"Win"
"168","1988_1246_1380",1988,137,"1988_1246",1246,"1988_1380",1380,2,8,6,15,15,0,13,"Win"
"169","1988_1196_1385",1988,136,"1988_1196",1196,"1988_1385",1385,6,6,0,11,6,-5,5,"Win"
"170","1988_1348_1393",1988,138,"1988_1348",1348,"1988_1393",1393,11,20,9,3,2,-1,-8,"Win"
"171","1988_1299_1393",1988,136,"1988_1299",1299,"1988_1393",1393,14,15,1,3,2,-1,-11,"Lose"
"172","1988_1181_1396",1988,145,"1988_1181",1181,"1988_1396",1396,2,5,3,1,2,1,-1,"Win"
"173","1988_1350_1396",1988,143,"1988_1350",1350,"1988_1396",1396,13,20,7,1,2,1,-12,"Lose"
"174","1988_1207_1396",1988,139,"1988_1207",1207,"1988_1396",1396,8,1,-7,1,2,1,-7,"Lose"
"175","1988_1250_1396",1988,137,"1988_1250",1250,"1988_1396",1396,16,20,4,1,2,1,-15,"Lose"
"176","1988_1234_1424",1988,139,"1988_1234",1234,"1988_1424",1424,5,2,-3,4,1,-3,-1,"Win"
"177","1988_1283_1424",1988,137,"1988_1283",1283,"1988_1424",1424,13,13,0,4,1,-3,-9,"Lose"
"178","1988_1228_1427",1988,137,"1988_1228",1228,"1988_1427",1427,3,3,0,14,20,6,11,"Win"
"179","1988_1371_1431",1988,137,"1988_1371",1371,"1988_1431",1431,8,20,12,9,7,-2,1,"Win"
"180","1988_1338_1435",1988,139,"1988_1338",1338,"1988_1435",1435,2,3,1,7,20,13,5,"Lose"
"181","1988_1242_1435",1988,144,"1988_1242",1242,"1988_1435",1435,6,5,-1,7,20,13,1,"Win"
"182","1988_1429_1435",1988,137,"1988_1429",1429,"1988_1435",1435,10,20,10,7,20,13,-3,"Lose"
"183","1988_1116_1437",1988,137,"1988_1116",1116,"1988_1437",1437,11,20,9,6,20,14,-5,"Lose"
"184","1988_1246_1437",1988,143,"1988_1246",1246,"1988_1437",1437,2,8,6,6,20,14,4,"Lose"
"185","1988_1328_1437",1988,145,"1988_1328",1328,"1988_1437",1437,1,6,5,6,20,14,5,"Win"
"186","1988_1228_1437",1988,139,"1988_1228",1228,"1988_1437",1437,3,3,0,6,20,14,3,"Lose"
"187","1988_1177_1455",1988,136,"1988_1177",1177,"1988_1455",1455,5,3,-2,12,11,-1,7,"Win"
"188","1988_1258_1461",1988,136,"1988_1258",1258,"1988_1461",1461,10,20,10,7,12,5,-3,"Win"
"189","1988_1242_1462",1988,137,"1988_1242",1242,"1988_1462",1462,6,5,-1,11,13,2,5,"Win"
"190","1989_1112_1155",1989,138,"1989_1112",1112,"1989_1155",1155,1,1,0,9,20,11,8,"Win"
"191","1989_1161_1196",1989,137,"1989_1161",1161,"1989_1196",1196,10,20,10,7,6,-1,-3,"Win"
"192","1989_1181_1207",1989,146,"1989_1181",1181,"1989_1207",1207,2,2,0,1,8,7,-1,"Win"
"193","1989_1123_1228",1989,138,"1989_1123",1123,"1989_1228",1228,9,20,11,1,3,2,-8,"Lose"
"194","1989_1206_1231",1989,137,"1989_1206",1206,"1989_1231",1231,15,20,5,2,4,2,-13,"Lose"
"195","1989_1247_1256",1989,136,"1989_1247",1247,"1989_1256",1256,8,13,5,9,20,11,1,"Lose"
"196","1989_1116_1257",1989,138,"1989_1116",1116,"1989_1257",1257,5,11,6,4,5,1,-1,"Lose"
"197","1989_1228_1257",1989,144,"1989_1228",1228,"1989_1257",1257,1,3,2,4,5,1,3,"Win"
"198","1989_1114_1257",1989,136,"1989_1114",1114,"1989_1257",1257,13,20,7,4,5,1,-9,"Lose"
"199","1989_1116_1258",1989,136,"1989_1116",1116,"1989_1258",1258,5,11,6,12,10,-2,7,"Win"
"200","1989_1228_1270",1989,136,"1989_1228",1228,"1989_1270",1270,1,3,2,16,20,4,15,"Win"
"201","1989_1177_1272",1989,136,"1989_1177",1177,"1989_1272",1272,12,5,-7,5,9,4,-7,"Win"
"202","1989_1228_1276",1989,152,"1989_1228",1228,"1989_1276",1276,1,3,2,3,3,0,2,"Lose"
"203","1989_1243_1278",1989,136,"1989_1243",1243,"1989_1278",1278,6,4,-2,11,20,9,5,"Lose"
"204","1989_1181_1278",1989,144,"1989_1181",1181,"1989_1278",1278,2,2,0,11,20,9,9,"Win"
"205","1989_1166_1281",1989,137,"1989_1166",1166,"1989_1281",1281,14,20,6,3,6,3,-11,"Lose"
"206","1989_1199_1292",1989,136,"1989_1199",1199,"1989_1292",1292,4,12,8,13,20,7,9,"Lose"
"207","1989_1207_1301",1989,144,"1989_1207",1207,"1989_1301",1301,1,8,7,5,3,-2,4,"Win"
"208","1989_1234_1301",1989,139,"1989_1234",1234,"1989_1301",1301,4,5,1,5,3,-2,1,"Lose"
"209","1989_1276_1314",1989,143,"1989_1276",1276,"1989_1314",1314,3,3,0,2,2,0,-1,"Win"
"210","1989_1207_1323",1989,139,"1989_1207",1207,"1989_1323",1323,1,8,7,9,10,1,8,"Win"
"211","1989_1256_1328",1989,138,"1989_1256",1256,"1989_1328",1328,9,20,11,1,1,0,-8,"Lose"
"212","1989_1190_1328",1989,136,"1989_1190",1190,"1989_1328",1328,16,20,4,1,1,0,-15,"Lose"
"213","1989_1191_1333",1989,137,"1989_1191",1191,"1989_1333",1333,11,20,9,6,12,6,-5,"Win"
"214","1989_1123_1338",1989,136,"1989_1123",1123,"1989_1338",1338,9,20,11,8,2,-6,-1,"Win"
"215","1989_1207_1343",1989,137,"1989_1207",1207,"1989_1343",1343,1,8,7,16,20,4,15,"Win"
"216","1989_1112_1352",1989,136,"1989_1112",1112,"1989_1352",1352,1,1,0,16,20,4,15,"Win"
"217","1989_1234_1353",1989,137,"1989_1234",1234,"1989_1353",1353,4,5,1,13,20,7,9,"Win"
"218","1989_1181_1354",1989,136,"1989_1181",1181,"1989_1354",1354,2,2,0,15,20,5,13,"Win"
"219","1989_1191_1371",1989,139,"1989_1191",1191,"1989_1371",1371,11,20,9,3,8,5,-8,"Lose"
"220","1989_1181_1371",1989,152,"1989_1181",1181,"1989_1371",1371,2,2,0,3,8,5,1,"Lose"
"221","1989_1231_1371",1989,143,"1989_1231",1231,"1989_1371",1371,2,4,2,3,8,5,1,"Lose"
"222","1989_1283_1371",1989,137,"1989_1283",1283,"1989_1371",1371,14,13,-1,3,8,5,-11,"Lose"
"223","1989_1276_1371",1989,154,"1989_1276",1276,"1989_1371",1371,3,3,0,3,8,5,0,"Win"
"224","1989_1278_1373",1989,138,"1989_1278",1278,"1989_1373",1373,11,20,9,14,20,6,3,"Win"
"225","1989_1104_1375",1989,137,"1989_1104",1104,"1989_1375",1375,6,20,14,11,20,9,5,"Lose"
"226","1989_1276_1375",1989,139,"1989_1276",1276,"1989_1375",1375,3,3,0,11,20,9,8,"Win"
"227","1989_1301_1376",1989,137,"1989_1301",1301,"1989_1376",1376,5,3,-2,12,20,8,7,"Win"
"228","1989_1314_1380",1989,137,"1989_1314",1314,"1989_1380",1380,2,2,0,15,15,0,13,"Win"
"229","1989_1155_1388",1989,136,"1989_1155",1155,"1989_1388",1388,9,20,11,8,20,12,-1,"Win"
"230","1989_1373_1390",1989,136,"1989_1373",1373,"1989_1390",1390,14,20,6,3,20,17,-11,"Win"
"231","1989_1281_1393",1989,144,"1989_1281",1281,"1989_1393",1393,3,6,3,2,3,1,-1,"Lose"
"232","1989_1161_1393",1989,139,"1989_1161",1161,"1989_1393",1393,10,20,10,2,3,1,-8,"Lose"
"233","1989_1137_1393",1989,137,"1989_1137",1137,"1989_1393",1393,15,20,5,2,3,1,-13,"Lose"
"234","1989_1228_1393",1989,146,"1989_1228",1228,"1989_1393",1393,1,3,2,2,3,1,1,"Win"
"235","1989_1281_1400",1989,139,"1989_1281",1281,"1989_1400",1400,3,6,3,11,20,9,8,"Win"
"236","1989_1210_1400",1989,137,"1989_1210",1210,"1989_1400",1400,6,5,-1,11,20,9,5,"Lose"
"237","1989_1235_1417",1989,137,"1989_1235",1235,"1989_1417",1417,10,12,2,7,20,13,-3,"Lose"
"238","1989_1314_1417",1989,139,"1989_1314",1314,"1989_1417",1417,2,2,0,7,20,13,5,"Win"
"239","1989_1112_1424",1989,143,"1989_1112",1112,"1989_1424",1424,1,1,0,4,4,0,3,"Lose"
