asin,forecast_creation_date,target_week,model_name,demand,p50_fcst,p60_fcst,p80_fcst,p90_fcst
ZKD2774995,11/20/2016,11/20/2016,Model B,96,80.33,89.47,113.25,133.47
ZKD2774995,11/20/2016,11/27/2016,Model A,100,125.87,147.12,205.25,257.2
ZKD2774995,11/20/2016,11/27/2016,Model B,100,123.55,138.36,177.14,210.31
ZKD2774995,11/20/2016,12/4/2016,Model A,116,130.47,158.33,237.54,310.91
ZKD2774995,11/20/2016,12/4/2016,Model B,116,140.14,158.32,206.34,247.82
ZKD2774995,11/20/2016,12/11/2016,Model A,94,158.95,194.23,295.24,389.42
ZKD2774995,11/20/2016,12/11/2016,Model B,94,130.71,148.35,195.18,235.82
ZKD2774995,11/20/2016,12/18/2016,Model A,93,94.44,118.43,188.91,256.13
ZKD2774995,11/20/2016,12/18/2016,Model B,93,104.17,119.95,162.46,199.87
ZKD2774995,11/20/2016,12/25/2016,Model A,54,55.59,68.69,106.52,142.09
ZKD2774995,11/20/2016,12/25/2016,Model B,54,74.56,86.91,120.59,150.58
ZKD2774995,11/20/2016,1/1/2017,Model A,48,59.16,71.64,106.97,139.57
ZKD2774995,11/20/2016,1/1/2017,Model B,48,55.4,63.58,85.53,104.77
ZKD2774995,11/20/2016,1/8/2017,Model A,26,45.71,55.05,81.33,105.44
ZKD2774995,11/20/2016,1/8/2017,Model B,26,51.32,58.11,76.06,91.58
ZKD2774995,11/20/2016,1/15/2017,Model A,42,43.01,51.66,75.94,98.15
ZKD2774995,11/20/2016,1/15/2017,Model B,42,53.25,58.99,73.82,86.35
ZKD2774995,11/20/2016,1/22/2017,Model A,25,42.48,51.22,75.84,98.45
ZKD2774995,11/20/2016,1/22/2017,Model B,25,52.59,57.87,71.46,82.85
SLK9880150,11/20/2016,11/20/2016,Model A,53,56.39,65.24,89.18,110.33
SLK9880150,11/20/2016,11/20/2016,Model B,53,53.7,59.27,73.6,85.67
SLK9880150,11/20/2016,11/27/2016,Model A,87,93.81,107.23,143.13,174.49
SLK9880150,11/20/2016,11/27/2016,Model B,87,76.29,84.01,103.86,120.52
SLK9880150,11/20/2016,12/4/2016,Model A,87,102.58,120.96,171.69,217.4
SLK9880150,11/20/2016,12/4/2016,Model B,87,85.29,94.65,118.91,139.46
SLK9880150,11/20/2016,12/11/2016,Model A,72,122.94,150.82,230.92,305.84
SLK9880150,11/20/2016,12/11/2016,Model B,72,81.53,90.91,115.37,136.19
SLK9880150,11/20/2016,12/18/2016,Model A,83,77.88,96.58,150.85,202.07
SLK9880150,11/20/2016,12/18/2016,Model B,83,68.1,76.27,97.66,115.94
SLK9880150,11/20/2016,12/25/2016,Model A,41,41.32,50.48,76.62,100.92
SLK9880150,11/20/2016,12/25/2016,Model B,41,51.76,58.13,74.83,89.15
SLK9880150,11/20/2016,1/1/2017,Model A,41,43.04,51.94,77.02,100.08
SLK9880150,11/20/2016,1/1/2017,Model B,41,40.55,44.86,56.01,65.4
SLK9880150,11/20/2016,1/8/2017,Model A,29,34.42,40.86,58.73,74.88
SLK9880150,11/20/2016,1/8/2017,Model B,29,38.82,42.71,52.68,61.04
SLK9880150,11/20/2016,1/15/2017,Model A,42,31.87,37.84,54.37,69.33
SLK9880150,11/20/2016,1/15/2017,Model B,42,41.08,44.83,54.38,62.31
SLK9880150,11/20/2016,1/22/2017,Model A,39,30.46,36.16,51.98,66.27
SLK9880150,11/20/2016,1/22/2017,Model B,39,41.05,44.9,54.72,62.89
WFI3432117,11/20/2016,11/20/2016,Model A,19,25.86,31.14,45.94,59.49
WFI3432117,11/20/2016,11/20/2016,Model B,19,22.84,27.22,39.37,50.36
WFI3432117,11/20/2016,11/27/2016,Model A,48,36.89,44.99,68.05,89.44
WFI3432117,11/20/2016,11/27/2016,Model B,48,33.82,39.57,55.25,69.23
WFI3432117,11/20/2016,12/4/2016,Model A,63,36.21,45.41,72.34,97.95
WFI3432117,11/20/2016,12/4/2016,Model B,63,36.48,42.87,60.4,76.1
WFI3432117,11/20/2016,12/11/2016,Model A,102,44.12,57.11,96.4,134.82
WFI3432117,11/20/2016,12/11/2016,Model B,102,31.79,37.32,52.45,65.99
WFI3432117,11/20/2016,12/18/2016,Model A,69,22.79,28.81,46.53,63.44
WFI3432117,11/20/2016,12/18/2016,Model B,69,25.34,30.04,43.03,54.73
WFI3432117,11/20/2016,12/25/2016,Model A,14,11.32,14.14,22.26,29.89
WFI3432117,11/20/2016,12/25/2016,Model B,14,22.09,26.07,36.97,46.76
WFI3432117,11/20/2016,1/1/2017,Model A,6,11.12,14.02,22.45,30.43
WFI3432117,11/20/2016,1/1/2017,Model B,6,22.05,25.71,35.62,44.42
WFI3432117,11/20/2016,1/8/2017,Model A,11,9.49,11.75,18.2,24.19
WFI3432117,11/20/2016,1/8/2017,Model B,11,21.62,25.31,35.4,44.37
WFI3432117,11/20/2016,1/15/2017,Model A,34,9.03,11,16.52,21.57
WFI3432117,11/20/2016,1/15/2017,Model B,34,21.87,25.69,36.14,45.47
WFI3432117,11/20/2016,1/22/2017,Model A,22,8.54,10.54,16.23,21.49
WFI3432117,11/20/2016,1/22/2017,Model B,22,21.59,25.38,35.73,44.99
OXC9114240,11/20/2016,11/20/2016,Model A,191,353.2,404.49,542,662.5
OXC9114240,11/20/2016,11/20/2016,Model B,191,421.88,464.76,575.2,668.1
OXC9114240,11/20/2016,11/27/2016,Model A,389,567.22,655.84,895.85,1108.22
OXC9114240,11/20/2016,11/27/2016,Model B,389,670.88,750.19,957.72,1135.12
OXC9114240,11/20/2016,12/4/2016,Model A,728,619.84,721.63,999.27,1246.63
OXC9114240,11/20/2016,12/4/2016,Model B,728,804.65,907.85,1180.36,1415.53
OXC9114240,11/20/2016,12/11/2016,Model A,820,795.44,951.76,1390.24,1791.44
OXC9114240,11/20/2016,12/11/2016,Model B,820,821.09,936.01,1242.73,1510.28
OXC9114240,11/20/2016,12/18/2016,Model A,549,531.53,647.93,980.65,1290.39
OXC9114240,11/20/2016,12/18/2016,Model B,549,726.35,839.25,1144.81,1415.01
OXC9114240,11/20/2016,12/25/2016,Model A,167,218.87,261.42,380.52,489.25
OXC9114240,11/20/2016,12/25/2016,Model B,167,549.79,645.69,909.61,1146.76
OXC9114240,11/20/2016,1/1/2017,Model A,65,216.85,258.37,374.25,479.79
OXC9114240,11/20/2016,1/1/2017,Model B,65,404.84,470.7,650.09,809.69
OXC9114240,11/20/2016,1/8/2017,Model A,169,145.77,172.77,247.71,315.61
OXC9114240,11/20/2016,1/8/2017,Model B,169,363.32,420.47,575.39,712.58
OXC9114240,11/20/2016,1/15/2017,Model A,172,131.49,156.24,225.1,287.62
OXC9114240,11/20/2016,1/15/2017,Model B,172,363.27,411.72,540.25,651.67
OXC9114240,11/20/2016,1/22/2017,Model A,181,123.46,145.77,207.44,263.08
OXC9114240,11/20/2016,1/22/2017,Model B,181,357.97,403.28,522.75,625.66
WXK6267435,11/20/2016,11/20/2016,Model A,18,26.76,31.4,44.12,55.47
WXK6267435,11/20/2016,11/20/2016,Model B,18,22.81,27.37,40.12,51.73
WXK6267435,11/20/2016,11/27/2016,Model A,45,36.48,43.58,63.38,81.4
WXK6267435,11/20/2016,11/27/2016,Model B,45,35.54,42.51,61.99,79.73
WXK6267435,11/20/2016,12/4/2016,Model A,44,36.71,45,68.75,90.88
WXK6267435,11/20/2016,12/4/2016,Model B,44,37.76,45.4,66.85,86.5
WXK6267435,11/20/2016,12/11/2016,Model A,23,46.07,58.43,95.08,130.32
WXK6267435,11/20/2016,12/11/2016,Model B,23,29.37,35.34,52.09,67.41
WXK6267435,11/20/2016,12/18/2016,Model A,1,26.92,34.03,54.96,74.97
WXK6267435,11/20/2016,12/18/2016,Model B,1,19.27,24.01,37.75,50.68
WXK6267435,11/20/2016,12/25/2016,Model A,0,18.1,22.98,37.37,51.13
WXK6267435,11/20/2016,12/25/2016,Model B,0,14.81,18.21,27.92,36.93
WXK6267435,11/20/2016,1/1/2017,Model A,1,19.22,24.13,38.44,52
WXK6267435,11/20/2016,1/1/2017,Model B,1,15.88,18.58,25.91,32.41
WXK6267435,11/20/2016,1/8/2017,Model A,9,18.05,22.43,35.08,46.96
WXK6267435,11/20/2016,1/8/2017,Model B,9,14.78,17.45,24.78,31.34
WXK6267435,11/20/2016,1/15/2017,Model A,17,17.46,21.66,33.78,45.14
WXK6267435,11/20/2016,1/15/2017,Model B,17,13.55,16.14,23.29,29.74
WXK6267435,11/20/2016,1/22/2017,Model A,29,16.87,21.33,34.41,46.87
WXK6267435,11/20/2016,1/22/2017,Model B,29,12.68,14.97,21.22,26.81
WXZ8537488,11/20/2016,11/20/2016,Model A,130,151.81,180.83,261.77,335.46
WXZ8537488,11/20/2016,11/20/2016,Model B,130,103.18,118.45,159.47,195.47
WXZ8537488,11/20/2016,11/27/2016,Model A,224,238.44,290.44,438.92,577
WXZ8537488,11/20/2016,11/27/2016,Model B,224,159.52,183.96,249.92,308.1
WXZ8537488,11/20/2016,12/4/2016,Model A,19,232.33,294.63,479.95,658.63
WXZ8537488,11/20/2016,12/4/2016,Model B,19,190.55,221.68,306.48,381.94
WXZ8537488,11/20/2016,12/11/2016,Model A,0,272.26,359.98,632.25,904.36
WXZ8537488,11/20/2016,12/11/2016,Model B,0,195.19,228.23,318.7,399.61
WXZ8537488,11/20/2016,12/18/2016,Model A,0,148.59,199.21,358.46,519.38
WXZ8537488,11/20/2016,12/18/2016,Model B,0,173.35,205.8,296.01,377.88
WXZ8537488,11/20/2016,12/25/2016,Model A,2,81.57,106.97,184.99,262.3
WXZ8537488,11/20/2016,12/25/2016,Model B,2,133.52,163,247.32,325.85
WXZ8537488,11/20/2016,1/1/2017,Model A,0,88.57,114.73,194.11,271.97
WXZ8537488,11/20/2016,1/1/2017,Model B,0,101.66,124.89,191.72,254.3
WXZ8537488,11/20/2016,1/8/2017,Model A,2,69.03,87.97,144.48,199.09
WXZ8537488,11/20/2016,1/8/2017,Model B,2,93.28,114.22,174.25,230.29
WXZ8537488,11/20/2016,1/15/2017,Model A,0,70.7,89.27,144.15,196.76
WXZ8537488,11/20/2016,1/15/2017,Model B,0,97.78,116.25,167.63,214.3
WXZ8537488,11/20/2016,1/22/2017,Model A,1,67.93,86.37,141.24,194.16
WXZ8537488,11/20/2016,1/22/2017,Model B,1,99.16,116.77,165.3,208.98
MIQ5342123,11/20/2016,11/20/2016,Model A,0,62.63,76.04,114.1,149.31
MIQ5342123,11/20/2016,11/20/2016,Model B,0,58.15,66.18,87.55,106.13
MIQ5342123,11/20/2016,11/27/2016,Model A,0,68.02,85.9,138.72,189.36
MIQ5342123,11/20/2016,11/27/2016,Model B,0,84.59,96.35,127.67,154.93
MIQ5342123,11/20/2016,12/4/2016,Model A,0,55.17,71.57,121.31,170.1
MIQ5342123,11/20/2016,12/4/2016,Model B,0,94.98,109.17,147.31,180.81
MIQ5342123,11/20/2016,12/11/2016,Model A,0,59.48,76.42,127.34,176.89
MIQ5342123,11/20/2016,12/11/2016,Model B,0,87.01,101.2,139.79,174.09
MIQ5342123,11/20/2016,12/18/2016,Model A,0,29.11,38.54,67.65,96.61
MIQ5342123,11/20/2016,12/18/2016,Model B,0,67.34,80.58,117.66,151.52
MIQ5342123,11/20/2016,12/25/2016,Model A,1,21.63,28.25,48.33,68.04
MIQ5342123,11/20/2016,12/25/2016,Model B,1,48.51,59,88.8,116.4
MIQ5342123,11/20/2016,1/1/2017,Model A,0,23.93,30.31,49.15,67.18
MIQ5342123,11/20/2016,1/1/2017,Model B,0,37.97,46.31,70.07,92.11
MIQ5342123,11/20/2016,1/8/2017,Model A,0,21.2,26.98,44.06,60.46
MIQ5342123,11/20/2016,1/8/2017,Model B,0,36.87,44.3,65.12,84.18
MIQ5342123,11/20/2016,1/15/2017,Model A,0,19.08,24.04,38.55,52.35
MIQ5342123,11/20/2016,1/15/2017,Model B,0,38.72,45.71,64.97,82.31
MIQ5342123,11/20/2016,1/22/2017,Model A,0,18.87,23.88,38.58,52.61
MIQ5342123,11/20/2016,1/22/2017,Model B,0,39.05,45.86,64.51,81.21
CLR7384781,11/20/2016,11/20/2016,Model A,69,66.23,77.96,110.25,139.27
CLR7384781,11/20/2016,11/20/2016,Model B,69,66.66,73.94,92.8,108.77
CLR7384781,11/20/2016,11/27/2016,Model A,143,100.13,115.78,158.12,195.55
CLR7384781,11/20/2016,11/27/2016,Model B,143,107.38,119.3,150.25,176.51
CLR7384781,11/20/2016,12/4/2016,Model A,123,101.93,122.63,180.95,234.51
CLR7384781,11/20/2016,12/4/2016,Model B,123,120.16,134.75,172.99,205.75
CLR7384781,11/20/2016,12/11/2016,Model A,178,132.47,161.43,244.13,321.03
CLR7384781,11/20/2016,12/11/2016,Model B,178,107.07,120.26,154.87,184.58
CLR7384781,11/20/2016,12/18/2016,Model A,268,78.62,97.1,150.53,200.78
CLR7384781,11/20/2016,12/18/2016,Model B,268,79.64,90.84,120.73,146.78
CLR7384781,11/20/2016,12/25/2016,Model A,93,40.44,49.06,73.48,96.02
CLR7384781,11/20/2016,12/25/2016,Model B,93,55.68,63.6,84.74,103.19
CLR7384781,11/20/2016,1/1/2017,Model A,56,42.09,50.31,73.23,94.1
CLR7384781,11/20/2016,1/1/2017,Model B,56,42.04,46.8,59.16,69.64
CLR7384781,11/20/2016,1/8/2017,Model A,32,33.64,39.66,56.23,71.11
CLR7384781,11/20/2016,1/8/2017,Model B,32,39.47,43.26,52.97,61.06
CLR7384781,11/20/2016,1/15/2017,Model A,48,31.54,37.32,53.28,67.66
CLR7384781,11/20/2016,1/15/2017,Model B,48,41.67,45.25,54.33,61.82
CLR7384781,11/20/2016,1/22/2017,Model A,90,29.54,35.12,50.58,64.58
CLR7384781,11/20/2016,1/22/2017,Model B,90,41.49,45.06,54.12,61.6
IAA5042021,11/20/2016,11/20/2016,Model A,153,95.9,112.15,156.61,196.35
IAA5042021,11/20/2016,11/20/2016,Model B,153,141.62,167.13,237.62,301.22
IAA5042021,11/20/2016,11/27/2016,Model A,130,127.66,145.77,194.16,236.41
IAA5042021,11/20/2016,11/27/2016,Model B,130,259.86,305.71,432.09,545.81
IAA5042021,11/20/2016,12/4/2016,Model A,166,131.99,156.64,225.15,287.29
IAA5042021,11/20/2016,12/4/2016,Model B,166,325.46,383.98,545.75,691.75
IAA5042021,11/20/2016,12/11/2016,Model A,289,160.69,192,279.61,359.6
IAA5042021,11/20/2016,12/11/2016,Model B,289,338.36,401.86,578.59,739.1
IAA5042021,11/20/2016,12/18/2016,Model A,251,95.75,117.8,181.34,240.9
IAA5042021,11/20/2016,12/18/2016,Model B,251,291.36,353.64,530.82,695.07
IAA5042021,11/20/2016,12/25/2016,Model A,142,67.31,82.72,127.01,168.46
IAA5042021,11/20/2016,12/25/2016,Model B,142,191.55,244.98,405.25,560.9
IAA5042021,11/20/2016,1/1/2017,Model A,147,78.68,96.13,146.04,192.52
IAA5042021,11/20/2016,1/1/2017,Model B,147,104.86,140.73,253.61,367.7
IAA5042021,11/20/2016,1/8/2017,Model A,155,68.05,82.53,123.61,161.6
IAA5042021,11/20/2016,1/8/2017,Model B,155,74.45,104.44,203.08,306.32
IAA5042021,11/20/2016,1/15/2017,Model A,136,64.65,77.73,114.52,148.25
IAA5042021,11/20/2016,1/15/2017,Model B,136,71.96,97.04,176.28,256.61
IAA5042021,11/20/2016,1/22/2017,Model A,134,63.84,78.16,119.17,157.41
IAA5042021,11/20/2016,1/22/2017,Model B,134,63.54,84.27,148.61,212.91
FZV9693999,11/20/2016,11/20/2016,Model A,54,51.95,60.39,83.31,103.65
